A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
,286.0,211.0,2.0,9.0,4.0,43.0,,,4.0,0.0,2.0,38.0,15.0,1
0.0,,13.0,2.0,13.0,4.0,10.0,,0.0,1.0,,2.0,102.0,,1
,48.0,,,8.0,,96.0,1.0,0.0,1.0,,2.0,111.0,1.0,1
1.0,,,2.0,14.0,8.0,,1.0,1.0,10.0,,2.0,1.0,,1
0.0,15.0,,2.0,6.0,,43.0,,1.0,,1.0,2.0,,11.0,0
,134.0,85.0,2.0,8.0,4.0,7.0,,1.0,2.0,1.0,2.0,,67.0,0
1.0,196.0,,,13.0,5.0,14.0,,,1.0,0.0,2.0,,1.0,0
,,1.0,1.0,,1.0,,0.0,,1.0,0.0,2.0,1.0,1.0,0
1.0,38.0,146.0,,6.0,,,0.0,0.0,1.0,0.0,2.0,24.0,101.0,0
0.0,50.0,145.0,2.0,3.0,,2.0,,0.0,1.0,,2.0,69.0,150.0,0
1.0,332.0,47.0,2.0,,4.0,4.0,,,1.0,1.0,,92.0,1.0,1
,79.0,87.0,,8.0,5.0,,1.0,0.0,1.0,,2.0,,,1
1.0,76.0,,,7.0,4.0,14.0,0.0,0.0,1.0,1.0,1.0,107.0,1.0,0
1.0,53.0,90.0,1.0,3.0,8.0,,0.0,,1.0,0.0,2.0,45.0,50.0,0
0.0,133.0,74.0,1.0,14.0,,,1.0,1.0,2.0,0.0,,,,1
,69.0,111.0,,11.0,4.0,60.0,1.0,,,,2.0,41.0,,1
1.0,,,1.0,2.0,8.0,65.0,0.0,0.0,,,2.0,61.0,117.0,0
1.0,,,,3.0,,,,1.0,,0.0,2.0,38.0,,1
,46.0,151.0,2.0,8.0,8.0,26.0,1.0,,,0.0,,15.0,174.0,1
,11.0,,2.0,11.0,,7.0,0.0,,,0.0,2.0,34.0,,0
,,87.0,,7.0,,58.0,1.0,,1.0,1.0,,117.0,1.0,1
,348.0,204.0,,1.0,,2.0,0.0,1.0,3.0,0.0,2.0,1.0,102.0,0
1.0,344.0,139.0,2.0,,1.0,,0.0,1.0,2.0,,,,7.0,0
1.0,225.0,,,9.0,4.0,76.0,,,,0.0,2.0,,168.0,1
,,95.0,2.0,9.0,4.0,26.0,0.0,0.0,,,,117.0,,0
1.0,,,2.0,3.0,,7.0,,,1.0,1.0,2.0,,1.0,0
,,13.0,3.0,,1.0,,0.0,,,,,102.0,1.0,1
,226.0,9.0,,4.0,,3.0,1.0,0.0,1.0,1.0,,98.0,,1
1.0,224.0,24.0,,8.0,4.0,10.0,,1.0,3.0,0.0,2.0,80.0,,0
1.0,42.0,,,,4.0,4.0,0.0,,1.0,0.0,,,5.0,0
0.0,74.0,,,11.0,,53.0,,,8.0,1.0,2.0,45.0,193.0,1
0.0,102.0,1.0,2.0,,,1.0,0.0,,1.0,0.0,,65.0,1.0,1
,77.0,169.0,,3.0,4.0,73.0,1.0,1.0,10.0,0.0,2.0,,134.0,1
,,17.0,,11.0,8.0,,1.0,,,,2.0,98.0,,1
1.0,,,2.0,8.0,5.0,126.0,,0.0,,0.0,,,1.0,1
0.0,241.0,133.0,,,4.0,5.0,0.0,1.0,3.0,,2.0,,19.0,0
0.0,,9.0,,11.0,8.0,8.0,1.0,,12.0,0.0,2.0,24.0,49.0,1
,47.0,54.0,2.0,,4.0,52.0,,1.0,2.0,0.0,2.0,32.0,66.0,1
1.0,99.0,,2.0,8.0,4.0,8.0,,1.0,,,2.0,30.0,,1
,,34.0,2.0,,8.0,99.0,1.0,0.0,1.0,,2.0,55.0,,1
0.0,43.0,40.0,,8.0,4.0,1.0,0.0,0.0,,0.0,,1.0,1.0,0
,79.0,,,8.0,4.0,4.0,0.0,,,0.0,2.0,1.0,217.0,0
1.0,192.0,92.0,2.0,3.0,5.0,71.0,,,3.0,0.0,2.0,96.0,,1
0.0,,,2.0,,,1.0,,0.0,,0.0,,65.0,1.0,1
1.0,281.0,,2.0,8.0,5.0,126.0,,1.0,,0.0,,1.0,233.0,1
1.0,24.0,,2.0,,,25.0,0.0,1.0,,1.0,2.0,,123.0,0
0.0,70.0,,1.0,11.0,4.0,65.0,,0.0,1.0,1.0,2.0,,1.0,0
1.0,105.0,184.0,2.0,13.0,4.0,,0.0,0.0,,0.0,2.0,,3.0,0
1.0,,197.0,,10.0,9.0,1.0,,,20.0,0.0,,50.0,60.0,0
0.0,,173.0,2.0,14.0,8.0,,1.0,,3.0,,2.0,,119.0,1
1.0,32.0,,,1.0,1.0,1.0,0.0,0.0,,,,63.0,2.0,0
1.0,91.0,187.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,65.0,1.0,0
,86.0,139.0,2.0,6.0,,,,0.0,1.0,1.0,2.0,,1.0,0
1.0,238.0,,2.0,,,2.0,1.0,1.0,2.0,0.0,,69.0,,1
,,,2.0,2.0,8.0,45.0,,1.0,7.0,0.0,2.0,,98.0,1
1.0,,,2.0,,8.0,33.0,1.0,,1.0,0.0,,,1.0,1
1.0,,,,8.0,8.0,119.0,,1.0,10.0,0.0,2.0,64.0,177.0,1
1.0,29.0,,2.0,2.0,4.0,15.0,0.0,0.0,1.0,,2.0,38.0,1.0,0
0.0,225.0,,,13.0,4.0,,,,,1.0,2.0,,1.0,0
1.0,262.0,61.0,2.0,3.0,5.0,,1.0,0.0,,0.0,2.0,159.0,1.0,0
,136.0,85.0,2.0,,4.0,28.0,1.0,1.0,,1.0,2.0,,1.0,1
1.0,347.0,,2.0,,1.0,,1.0,0.0,,1.0,2.0,,1.0,1
1.0,,43.0,1.0,8.0,8.0,,1.0,,1.0,,2.0,69.0,,0
1.0,37.0,,2.0,,4.0,2.0,0.0,1.0,2.0,0.0,2.0,,2.0,0
,62.0,10.0,2.0,2.0,8.0,18.0,1.0,0.0,1.0,,2.0,,1.0,1
0.0,214.0,98.0,2.0,1.0,1.0,,0.0,0.0,,,,,1.0,0
,119.0,40.0,,1.0,1.0,1.0,,1.0,2.0,0.0,2.0,27.0,94.0,0
,,108.0,2.0,3.0,8.0,,0.0,,1.0,0.0,2.0,,114.0,0
,220.0,123.0,2.0,11.0,8.0,118.0,1.0,1.0,8.0,1.0,2.0,102.0,,0
1.0,65.0,63.0,2.0,,4.0,20.0,0.0,,1.0,,,63.0,1.0,0
1.0,34.0,,1.0,8.0,4.0,,0.0,0.0,,1.0,2.0,,7.0,0
1.0,,78.0,,11.0,,113.0,1.0,0.0,1.0,1.0,2.0,33.0,127.0,1
,200.0,,2.0,,,1.0,0.0,,7.0,,2.0,,77.0,0
0.0,,63.0,,,,14.0,,1.0,5.0,0.0,1.0,24.0,1.0,1
0.0,61.0,52.0,,5.0,,1.0,,0.0,,,,,,0
0.0,39.0,,1.0,,4.0,,0.0,1.0,2.0,0.0,2.0,,3.0,0
1.0,246.0,40.0,1.0,9.0,4.0,7.0,0.0,0.0,1.0,,,1.0,,0
1.0,,20.0,2.0,1.0,1.0,1.0,,,,0.0,2.0,48.0,,0
,124.0,,,,8.0,,1.0,,5.0,0.0,2.0,45.0,,1
1.0,,119.0,2.0,7.0,,,1.0,1.0,13.0,,2.0,,1.0,1
0.0,,115.0,2.0,2.0,4.0,31.0,0.0,0.0,,0.0,2.0,,,0
1.0,59.0,27.0,1.0,13.0,4.0,,0.0,0.0,1.0,,2.0,53.0,1.0,0
1.0,,169.0,2.0,,,,1.0,1.0,,,2.0,,226.0,1
1.0,164.0,,1.0,,4.0,73.0,0.0,,,1.0,2.0,107.0,,0
1.0,,17.0,2.0,,,7.0,1.0,0.0,1.0,0.0,,,1.0,0
,,40.0,,4.0,4.0,,0.0,0.0,,0.0,,79.0,1.0,0
0.0,100.0,37.0,2.0,11.0,4.0,32.0,1.0,,3.0,,,69.0,1.0,0
,144.0,22.0,2.0,9.0,4.0,7.0,0.0,0.0,1.0,1.0,2.0,102.0,1.0,0
1.0,163.0,2.0,,2.0,,78.0,,,,1.0,2.0,146.0,1.0,0
1.0,127.0,,,9.0,4.0,20.0,0.0,0.0,,1.0,2.0,102.0,,0
,,1.0,,,4.0,1.0,,0.0,1.0,,,,,0
,335.0,102.0,2.0,6.0,,76.0,,1.0,,0.0,2.0,1.0,49.0,1
0.0,47.0,,2.0,4.0,4.0,,1.0,1.0,2.0,,2.0,53.0,,1
,9.0,29.0,,7.0,4.0,3.0,1.0,0.0,1.0,,,69.0,,0
1.0,,,2.0,,8.0,35.0,1.0,,1.0,,2.0,137.0,77.0,1
1.0,73.0,169.0,,3.0,,11.0,,,1.0,0.0,,1.0,1.0,0
1.0,,30.0,,,,,1.0,1.0,,1.0,2.0,156.0,180.0,1
,,120.0,1.0,2.0,,,1.0,,,1.0,1.0,32.0,1.0,1
0.0,222.0,,2.0,,4.0,26.0,1.0,,1.0,1.0,,,1.0,1
0.0,,169.0,1.0,5.0,3.0,,1.0,1.0,12.0,1.0,2.0,1.0,1.0,1
1.0,255.0,,,11.0,8.0,,1.0,0.0,1.0,,,27.0,1.0,1
,,172.0,2.0,,8.0,3.0,0.0,0.0,,0.0,2.0,,6.0,0
0.0,,,2.0,4.0,4.0,,,0.0,1.0,1.0,1.0,32.0,,0
0.0,,,2.0,9.0,4.0,24.0,0.0,,1.0,,2.0,53.0,1.0,0
1.0,,10.0,2.0,11.0,,4.0,0.0,,1.0,,2.0,,1.0,0
,326.0,124.0,2.0,7.0,4.0,124.0,,1.0,,,2.0,117.0,167.0,1
,166.0,73.0,,5.0,3.0,,,0.0,1.0,0.0,,53.0,21.0,0
1.0,21.0,,2.0,6.0,,,0.0,0.0,,0.0,2.0,,135.0,0
,279.0,119.0,,8.0,4.0,26.0,0.0,0.0,1.0,1.0,2.0,,82.0,0
,161.0,,,,4.0,101.0,1.0,,17.0,0.0,2.0,1.0,213.0,1
1.0,141.0,,,9.0,4.0,8.0,0.0,,2.0,0.0,2.0,111.0,,0
1.0,173.0,127.0,,10.0,,39.0,1.0,,1.0,,1.0,,1.0,0
0.0,327.0,151.0,2.0,,4.0,76.0,1.0,,15.0,,2.0,1.0,176.0,1
,,162.0,,11.0,,,1.0,1.0,6.0,1.0,,1.0,120.0,1
1.0,117.0,61.0,2.0,3.0,5.0,14.0,0.0,0.0,1.0,1.0,2.0,,206.0,0
1.0,189.0,119.0,,,4.0,,1.0,,,1.0,,142.0,,0
,126.0,46.0,2.0,9.0,4.0,52.0,,,2.0,,2.0,,4.0,0
,45.0,150.0,2.0,,2.0,1.0,1.0,0.0,,0.0,,,1.0,1
1.0,,55.0,2.0,,8.0,77.0,1.0,1.0,3.0,,,64.0,1.0,1
,325.0,55.0,2.0,1.0,1.0,99.0,,1.0,2.0,0.0,2.0,,11.0,0
,141.0,,,10.0,8.0,47.0,0.0,0.0,1.0,0.0,,91.0,18.0,0
,259.0,97.0,2.0,11.0,,82.0,,0.0,,0.0,1.0,1.0,1.0,1
1.0,114.0,194.0,,,,,0.0,0.0,,1.0,,62.0,1.0,0
0.0,275.0,16.0,2.0,13.0,,,1.0,1.0,12.0,,2.0,141.0,,1
1.0,155.0,,,,8.0,52.0,0.0,0.0,1.0,,,111.0,1.0,0
1.0,163.0,,2.0,8.0,,23.0,1.0,0.0,1.0,,,,1.0,0
,250.0,,2.0,4.0,4.0,,1.0,0.0,1.0,,,53.0,1.0,0
1.0,188.0,,1.0,3.0,5.0,,,0.0,1.0,1.0,2.0,149.0,,0
1.0,48.0,64.0,2.0,,,47.0,1.0,1.0,12.0,1.0,2.0,69.0,200.0,1
1.0,97.0,115.0,,8.0,,,1.0,,4.0,0.0,2.0,1.0,1.0,1
1.0,14.0,73.0,,,4.0,,0.0,0.0,,1.0,2.0,53.0,32.0,0
0.0,223.0,,2.0,8.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,53.0,1.0,0
1.0,203.0,26.0,,,4.0,37.0,,0.0,1.0,1.0,2.0,83.0,1.0,0
1.0,27.0,159.0,1.0,6.0,4.0,,1.0,0.0,1.0,0.0,2.0,38.0,105.0,0
1.0,125.0,20.0,1.0,13.0,,7.0,1.0,1.0,3.0,,,92.0,115.0,1
1.0,211.0,92.0,2.0,,4.0,,0.0,0.0,1.0,0.0,,,,0
,213.0,93.0,,4.0,4.0,7.0,,,11.0,1.0,,107.0,1.0,1
0.0,,,2.0,11.0,,43.0,1.0,0.0,1.0,0.0,2.0,8.0,143.0,1
1.0,76.0,,1.0,6.0,,4.0,1.0,,,0.0,2.0,63.0,2.0,0
1.0,333.0,193.0,2.0,,,130.0,1.0,1.0,16.0,1.0,2.0,,150.0,1
1.0,86.0,,,7.0,4.0,3.0,,,5.0,0.0,2.0,90.0,179.0,0
,,47.0,2.0,13.0,4.0,38.0,,1.0,2.0,1.0,2.0,,,1
,10.0,70.0,2.0,,4.0,,0.0,1.0,,,2.0,24.0,22.0,0
0.0,147.0,107.0,2.0,10.0,2.0,52.0,1.0,1.0,6.0,1.0,,31.0,115.0,1
1.0,197.0,66.0,1.0,,4.0,,0.0,0.0,1.0,0.0,1.0,,1.0,0
1.0,,46.0,1.0,13.0,,47.0,1.0,0.0,1.0,,2.0,,,0
0.0,134.0,,,3.0,5.0,14.0,1.0,0.0,1.0,1.0,,,1.0,0
1.0,66.0,176.0,2.0,,4.0,72.0,,,,,,63.0,72.0,0
1.0,173.0,66.0,,,4.0,31.0,0.0,0.0,1.0,1.0,2.0,98.0,1.0,0
0.0,113.0,,1.0,,1.0,1.0,,0.0,1.0,1.0,2.0,63.0,,0
0.0,,123.0,2.0,6.0,8.0,,0.0,,,,2.0,1.0,1.0,0
,,87.0,2.0,8.0,,85.0,,0.0,1.0,,,,,0
0.0,,50.0,,6.0,4.0,7.0,,0.0,1.0,0.0,2.0,1.0,106.0,0
,,37.0,1.0,2.0,4.0,,0.0,0.0,,1.0,,138.0,1.0,1
,257.0,101.0,1.0,,4.0,,1.0,,,1.0,,16.0,173.0,1
1.0,134.0,84.0,2.0,6.0,4.0,,0.0,,,1.0,2.0,32.0,,0
1.0,176.0,46.0,,,8.0,,1.0,,4.0,1.0,2.0,1.0,1.0,1
1.0,242.0,,2.0,7.0,4.0,,0.0,0.0,1.0,1.0,,131.0,1.0,0
0.0,142.0,,,4.0,4.0,,0.0,0.0,1.0,1.0,,98.0,1.0,0
1.0,,57.0,,8.0,4.0,3.0,0.0,,,0.0,,102.0,1.0,0
,196.0,196.0,,12.0,7.0,92.0,1.0,1.0,10.0,,2.0,1.0,,1
0.0,,,1.0,,8.0,,0.0,,1.0,1.0,2.0,,,0
,,76.0,2.0,9.0,,3.0,0.0,1.0,2.0,0.0,,,7.0,0
1.0,36.0,144.0,,,,,1.0,,1.0,1.0,2.0,,,1
0.0,92.0,180.0,2.0,6.0,4.0,,1.0,1.0,13.0,1.0,2.0,38.0,121.0,1
0.0,51.0,136.0,2.0,8.0,4.0,5.0,0.0,,,,2.0,1.0,,0
0.0,319.0,,2.0,5.0,,1.0,1.0,1.0,16.0,0.0,2.0,1.0,87.0,1
1.0,,109.0,,8.0,4.0,,0.0,0.0,1.0,1.0,2.0,,1.0,0
,,17.0,,,8.0,75.0,1.0,,1.0,,2.0,63.0,95.0,1
0.0,,164.0,2.0,14.0,,26.0,1.0,1.0,12.0,0.0,2.0,1.0,200.0,1
1.0,233.0,114.0,2.0,13.0,8.0,115.0,,,,1.0,2.0,130.0,1.0,1
1.0,301.0,,,,4.0,110.0,1.0,1.0,,0.0,2.0,1.0,1.0,1
1.0,72.0,26.0,,,4.0,,0.0,1.0,2.0,1.0,,131.0,,0
,288.0,,2.0,,,4.0,,0.0,,1.0,,80.0,1.0,1
0.0,309.0,6.0,2.0,1.0,,,,0.0,,1.0,,,26.0,0
1.0,,1.0,,7.0,5.0,1.0,0.0,0.0,,,,152.0,2.0,1
0.0,291.0,,,5.0,,1.0,,,,1.0,2.0,32.0,26.0,0
1.0,173.0,82.0,2.0,4.0,4.0,,0.0,0.0,1.0,1.0,,84.0,,0
0.0,,139.0,2.0,,4.0,,,,1.0,,2.0,1.0,1.0,1
,126.0,46.0,2.0,,4.0,47.0,1.0,,12.0,1.0,2.0,,,1
1.0,,,1.0,7.0,4.0,,,0.0,,0.0,2.0,1.0,1.0,0
,83.0,28.0,2.0,11.0,,,0.0,1.0,,1.0,2.0,69.0,12.0,0
1.0,70.0,169.0,1.0,7.0,,,,0.0,1.0,1.0,2.0,,,0
,238.0,,2.0,3.0,,6.0,,,1.0,0.0,2.0,,,0
,,48.0,2.0,,,16.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
,95.0,,2.0,14.0,8.0,27.0,1.0,0.0,,1.0,,53.0,220.0,1
0.0,141.0,,2.0,4.0,4.0,15.0,1.0,1.0,5.0,,,,115.0,1
1.0,,,,,8.0,71.0,1.0,,,1.0,2.0,139.0,225.0,1
1.0,53.0,153.0,1.0,,8.0,31.0,,0.0,1.0,0.0,,92.0,1.0,0
0.0,205.0,,,8.0,,47.0,,1.0,12.0,0.0,2.0,,111.0,1
0.0,50.0,156.0,2.0,11.0,,19.0,,1.0,,1.0,2.0,14.0,1.0,1
,83.0,20.0,1.0,1.0,1.0,4.0,0.0,0.0,,,2.0,,46.0,0
